Packetnummer;Ware;fuellstand;veschickt um;angekommen um
1;a;10;2017-05-28 20:16:07.518;2017-05-28 20:16:07.567
2;a;98;2017-05-28 20:16:12.71;2017-05-28 20:16:12.713
3;a;96;2017-05-28 20:16:17.715;2017-05-28 20:16:17.718
4;a;94;2017-05-28 20:16:22.721;2017-05-28 20:16:22.724
5;a;92;2017-05-28 20:16:27.727;2017-05-28 20:16:27.73
6;a;90;2017-05-28 20:16:32.732;2017-05-28 20:16:32.735
7;a;88;2017-05-28 20:16:37.738;2017-05-28 20:16:37.741
8;a;86;2017-05-28 20:16:42.742;2017-05-28 20:16:42.744
9;a;84;2017-05-28 20:16:47.745;2017-05-28 20:16:47.748
10;a;82;2017-05-28 20:16:52.75;2017-05-28 20:16:52.753
11;a;80;2017-05-28 20:16:57.755;2017-05-28 20:16:57.758
12;a;78;2017-05-28 20:17:02.761;2017-05-28 20:17:02.764
13;a;76;2017-05-28 20:17:07.767;2017-05-28 20:17:07.769
14;a;74;2017-05-28 20:17:12.772;2017-05-28 20:17:12.775
15;a;72;2017-05-28 20:17:17.776;2017-05-28 20:17:17.779
16;a;70;2017-05-28 20:17:22.782;2017-05-28 20:17:22.785
17;a;68;2017-05-28 20:17:27.786;2017-05-28 20:17:27.789
18;a;66;2017-05-28 20:17:32.79;2017-05-28 20:17:32.794
19;a;64;2017-05-28 20:17:37.798;2017-05-28 20:17:37.801
20;a;62;2017-05-28 20:17:42.803;2017-05-28 20:17:42.805
21;a;60;2017-05-28 20:17:47.806;2017-05-28 20:17:47.807
22;a;58;2017-05-28 20:17:52.808;2017-05-28 20:17:52.81
23;a;56;2017-05-28 20:17:57.812;2017-05-28 20:17:57.815
24;a;54;2017-05-28 20:18:02.816;2017-05-28 20:18:02.817
25;a;52;2017-05-28 20:18:07.82;2017-05-28 20:18:07.822
26;a;50;2017-05-28 20:18:12.824;2017-05-28 20:18:12.826
27;a;48;2017-05-28 20:18:17.827;2017-05-28 20:18:17.829
28;a;46;2017-05-28 20:18:22.83;2017-05-28 20:18:22.833
29;a;44;2017-05-28 20:18:27.836;2017-05-28 20:18:27.838
30;a;42;2017-05-28 20:18:32.838;2017-05-28 20:18:32.841
31;a;40;2017-05-28 20:18:37.845;2017-05-28 20:18:37.847
32;a;38;2017-05-28 20:18:42.849;2017-05-28 20:18:42.85
33;a;36;2017-05-28 20:18:47.852;2017-05-28 20:18:47.855
34;a;34;2017-05-28 20:18:52.857;2017-05-28 20:18:52.86
35;a;32;2017-05-28 20:18:57.862;2017-05-28 20:18:57.865
36;a;30;2017-05-28 20:19:02.867;2017-05-28 20:19:02.87
37;a;28;2017-05-28 20:19:07.873;2017-05-28 20:19:07.875
38;a;26;2017-05-28 20:19:12.877;2017-05-28 20:19:12.879
1;b;10;2017-05-28 20:19:15.264;2017-05-28 20:19:15.28
39;a;24;2017-05-28 20:19:17.881;2017-05-28 20:19:17.884
2;b;98;2017-05-28 20:19:20.332;2017-05-28 20:19:20.335
40;a;22;2017-05-28 20:19:22.885;2017-05-28 20:19:22.888
3;b;96;2017-05-28 20:19:25.336;2017-05-28 20:19:25.339
41;a;20;2017-05-28 20:19:27.889;2017-05-28 20:19:27.892
4;b;94;2017-05-28 20:19:30.341;2017-05-28 20:19:30.344
42;a;18;2017-05-28 20:19:32.894;2017-05-28 20:19:32.897
5;b;92;2017-05-28 20:19:35.345;2017-05-28 20:19:35.348
43;a;16;2017-05-28 20:19:37.9;2017-05-28 20:19:37.903
6;b;90;2017-05-28 20:19:40.349;2017-05-28 20:19:40.352
44;a;14;2017-05-28 20:19:42.904;2017-05-28 20:19:42.913
7;b;88;2017-05-28 20:19:45.355;2017-05-28 20:19:45.358
45;a;12;2017-05-28 20:19:47.915;2017-05-28 20:19:47.918
Packetnummer;Ware;fuellstand;veschickt um;angekommen um
